Nazwa;Frakcja;Moc;Zasięg;Opis efektu;Nazwa efektu;Parametry efektu
Thorin Dębowa Tarcza;Krasnoludy;10;Bliski;"Zyskuje tarczę o wartości 5 punktów, która chroni go przed obrażeniami";AddShieldEffect;5
Fili;Krasnoludy;7;Bliski;"Jeśli Kili i Fili są na planszy, a Kili otrzyma obrażenia równe jego aktualnej mocy (zostaje wyeliminowany z planszy), to Fili również zostaje wyeliminowany z planszy.";DeathLinkEffect;Kili
Balin;Krasnoludy;4;Bliski;Co drugą turę zyskuje +1 do mocy;BuffSelfEffect;1|2
Dwalin;Krasnoludy;6;Bliski;Co dwie tury zadaje wrogiej karcie na planszy obrażenia o wartości -3;PeriodicDamageEffect;3|2
Gloin;Krasnoludy;5;Bliski;Zadaje wybranej wrogiej karcie na planszy obrażenia o wartości -5;DamageTargetEnemyEffect;5
Gimli;Krasnoludy;5;Bliski;"Jeśli Legolas i Gimli są razem na planszy, to obie karty zostają wyeliminowane (moc obu kart przyjmuje wartość 0)";MutualDestructionEffect;Legolas
Dori;Krasnoludy;4;Bliski;"Jeśli Ori zostanie wyeliminowany, to Dori zyskuje +3";BuffSelfOnAllyDeathEffect;3|Ori
Nori;Krasnoludy;5;Bliski;"Jeśli Dori i Ori są na planszy, to Nori zyskuje +3";ConditionalBuffSelfEffect;3|Dori|Ori
Bofur;Krasnoludy;6;Bliski;Zadaje obrażenia o wartości -3 wybranej wrogiej karcie na planszy;DamageTargetEnemyEffect;3
Bombur;Krasnoludy;3;Bliski;Dodaje +2 mocy dla 2 innych wybranych kart na planszy;BuffTargetEffect;2|2
Kozły Bojowe;Krasnoludy;4;Bliski;Zadaje obrażenia o wysokości -2 wybranej karcie wroga na planszy;DamageTargetEnemyEffect;2
Durin;Krasnoludy;12;Bliski;Jest odporny na obrażenia;ImmuneToDamageEffect;
Gwardzista;Krasnoludy;2;Bliski;;;
Ori;Krasnoludy;1;Daleki;Dodaje +1 mocy wszystkim kartom w rzędzie;BuffRowEffect;1
Bifur;Krasnoludy;8;Daleki;Zadaje obrażenia o wysokości -4 wybranej karcie wroga na planszy;DamageTargetEnemyEffect;4
Miotacz Toporów;Krasnoludy;1;Daleki;;;
Katapulta;Krasnoludy;3;Daleki;;;
Thrór;Krasnoludy;0;Daleki;Wzywa wszystkich gwardzistów z talii;SummonCardEffect;Gwardzista|All
